epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,251.466,0.4684,1.78493,0.82668,0.98387,0.54601,0.7705,0.7626,0.37085,11.7503,0.80603,0.0004852,0.0004852,0.0004852
106,253.787,0.48123,1.88634,0.83468,0.98387,0.54601,0.7705,0.76454,0.38838,11.9637,0.80546,0.00048025,0.00048025,0.00048025
107,256.072,0.49703,1.95302,0.8345,0.98387,0.54601,0.7705,0.74517,0.41451,12.0022,0.80736,0.0004753,0.0004753,0.0004753
108,258.377,0.53383,1.82678,0.83117,0.99653,0.54601,0.7705,0.75519,0.41844,12.1989,0.81422,0.00047035,0.00047035,0.00047035
109,260.676,0.47777,1.71982,0.83,1,0.54601,0.7705,0.74295,0.42907,12.0128,0.81928,0.0004654,0.0004654,0.0004654
110,262.999,0.46759,1.72073,0.82832,0.99485,0.54601,0.7705,0.76084,0.40637,11.3777,0.81745,0.00046045,0.00046045,0.00046045
111,265.331,0.4555,1.69589,0.82424,0.98387,0.54601,0.7705,0.76474,0.40491,11.538,0.80634,0.0004555,0.0004555,0.0004555
112,267.737,0.47463,1.75295,0.83024,0.99314,0.54432,0.7705,0.76879,0.40829,11.4991,0.80627,0.00045055,0.00045055,0.00045055
113,270.043,0.49949,1.85278,0.84197,0.99728,0.54583,0.7705,0.7661,0.40038,11.6534,0.80563,0.0004456,0.0004456,0.0004456
114,272.341,0.48776,1.78688,0.83224,0.99766,0.54601,0.7705,0.74953,0.40487,11.8655,0.80948,0.00044065,0.00044065,0.00044065
115,274.765,0.4558,1.73593,0.82154,0.998,0.54601,0.7705,0.76658,0.39754,11.8657,0.80814,0.0004357,0.0004357,0.0004357
116,277.076,0.48436,1.79414,0.82923,1,0.54601,0.7705,0.76882,0.39389,11.8025,0.81299,0.00043075,0.00043075,0.00043075
117,279.482,0.45659,1.74186,0.82737,0.99702,0.54601,0.7705,0.76471,0.4002,11.6962,0.80759,0.0004258,0.0004258,0.0004258
118,281.877,0.45688,1.66963,0.8223,1,0.54601,0.7705,0.7442,0.41805,11.7799,0.81014,0.00042085,0.00042085,0.00042085
119,284.258,0.46531,1.80482,0.82873,1,0.54601,0.7705,0.76256,0.40598,11.7837,0.80818,0.0004159,0.0004159,0.0004159
120,286.777,0.46178,1.72737,0.82996,0.99625,0.54601,0.7705,0.76069,0.40529,11.816,0.81204,0.00041095,0.00041095,0.00041095
121,289.211,0.46823,1.70622,0.83083,0.99609,0.54601,0.7705,0.76963,0.40041,11.6795,0.81123,0.000406,0.000406,0.000406
122,291.757,0.47863,1.74985,0.82717,0.99492,0.54601,0.7705,0.76733,0.38467,11.7335,0.80545,0.00040105,0.00040105,0.00040105
123,294.141,0.4727,1.80356,0.82314,0.99747,0.54596,0.7705,0.7554,0.38826,11.7327,0.80356,0.0003961,0.0003961,0.0003961
124,296.657,0.47659,1.71951,0.82393,0.99728,0.54601,0.7705,0.76882,0.39663,12.194,0.80116,0.00039115,0.00039115,0.00039115
125,299.137,0.47633,1.72231,0.8308,0.98387,0.54601,0.7705,0.76076,0.39429,12.3106,0.8049,0.0003862,0.0003862,0.0003862
126,301.463,0.49593,1.71439,0.8365,0.99384,0.54401,0.7705,0.75707,0.40598,12.144,0.81165,0.00038125,0.00038125,0.00038125
127,303.828,0.46514,1.83036,0.82075,0.9965,0.54386,0.7705,0.76612,0.39605,11.8698,0.80821,0.0003763,0.0003763,0.0003763
128,306.48,0.46695,1.76013,0.83089,0.99849,0.54601,0.7705,0.75603,0.40249,11.8647,0.80734,0.00037135,0.00037135,0.00037135
129,309.015,0.47276,1.79654,0.83701,1,0.54601,0.7705,0.76514,0.38964,11.8565,0.80119,0.0003664,0.0003664,0.0003664
130,311.532,0.46396,1.68603,0.8175,1,0.54601,0.7705,0.76882,0.39445,12.0793,0.79848,0.00036145,0.00036145,0.00036145
131,314.058,0.45671,1.76952,0.8238,0.9982,0.54601,0.7705,0.76483,0.40598,12.1595,0.79789,0.0003565,0.0003565,0.0003565
132,316.596,0.46095,1.76117,0.82899,1,0.54601,0.7705,0.7671,0.41271,12.3164,0.7971,0.00035155,0.00035155,0.00035155
133,319.098,0.48013,1.771,0.82879,1,0.54601,0.7705,0.74575,0.4202,12.0819,0.79926,0.0003466,0.0003466,0.0003466
134,321.658,0.44294,1.65018,0.82328,0.99778,0.54601,0.7705,0.73774,0.43636,11.8839,0.80723,0.00034165,0.00034165,0.00034165
